ru,en,vi,description
Система приемов,System of inventive principles,Hệ thống các thủ thuật,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Ситуация изобретательская,Inventive situation,Tình huống sáng chế,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Согласование ритмики,Rhythm coordination,Tương hợp nhịp điệu,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Специальный термин (спецтермин),Special (professional) term,Thuật ngữ chuyên môn,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Стандарт (на решение изобретательских задач),Standard for solving inventive problems,Chuẩn (để giải các bài toán sáng chế),Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Схемы типичных конфликтов в моделях задач,Diagrams of typical conflicts in the models of problems,Các sơ đồ các loại xung đột hay xảy ra trong các mô hình bài toán,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
"S-образная кривая(термин активно использовался в ТРИЗ, хотя был предложен ранее другими авторами)",S-curve,Đường cong hình chữ S,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Таблица основных приемов для устранения типовых технических противоречий,Contradiction (conflict) matrix,Bảng các thủ thuật cơ bản dùng khắc phục các loại mâu thuẫn kỹ thuật mẫu (chuẩn),Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Теория Развития Творческой Личности (ТРТЛ),Theory of Creative Life Strategy (TCLS),Lý Thuyết Phát Triển Nhân Cách Sáng Tạo,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Теполь,T-Field,Vepol nhiệt,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
ТРИЗ,TRIZ,TRIZ,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Указатели эффектов,Indexes of effects,Sách hướng dẫn sử dụng các hiệu ứng,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Уровень изобретательских задач,Level of inventions,Mức khó của các bài toán sáng chế,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Усиленная формулировка конфликта,Intensified conflict (contradiction),Phát biểu tăng cường xung đột,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Фантограмма,Fantogram,Các bảng giúp tưởng tượng,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Феполь,Fe-Field,Fepol (Vepol sắt từ),Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Физический эффект,Physical effect,Hiệu ứng vật lý,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Фонд Достойных Целей,The Bank of Worthy Goals,Quỹ Các Mục Đích Xứng Đáng,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Фонд информационный,TRIZ databases,Kho (Quỹ) thông tin (của TRIZ),Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Химический эффект,Chemical effect,Hiệu ứng hóa học,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Четырехэтажная схема создания фантастических идей,Four-level algorithm for generating sci-fi ideas,Sơ đồ bốn giai đoạn tạo các ý tưởng viễn tưởng,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Шаг назад от ИКР,Step back from IFR,Bước lùi khỏi KLC (Kết quả lý tưởng cuối cùng),Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Эвристика,Heuristics,Sáng tạo học (Khoa học về sáng tạo),Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Эполь,E-Field,Epol (Vepol điện),Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
Эффект,Effect,Hiệu ứng,Phan Dũng dịch thuật ngữ TRIZ: https://rosetta.vn/triz/thuat-ngu-cua-triz/
